N_Transaccion,Codigo_Producto,Descripcion,Cantidad,Fecha_Hora,Precio_Unitario,ID_Cliente,Pais
536365,85123A,SOPORTE DE LUZ EN T CORAZON COLGANTE BLANCO,6,01/12/2010 08:26,2.55,17850,USA
536365,71053,LINTERNA DE METAL BLANCO,6,01/12/2010 08:26,3.39,17850,USA
536365,84406B,CREMA CUPID HEARTS PERCHERO,8,01/12/2010 08:26,2.75,17850,USA
536365,84029G,BOTELLA DE AGUA CALIENTE DE BANDERA DE UNION,6,01/12/2010 08:26,3.39,17850,USA
536365,84029E,CORAZON BLANCO CALIENTE DE LANA ROJO.,6,01/12/2010 08:26,3.39,17850,USA
536365,22752,SET 7 CAJAS DE NIDIFICACION BABUSHKA,2,01/12/2010 08:26,7.65,17850,USA
536365,21730,SOPORTE DE LUZ EN T HELADO CON ESTRELLA DE VIDRIO,6,01/12/2010 08:26,4.25,17850,USA
536366,22633,JACK CALENTADOR DE MANOS,6,01/12/2010 08:28,1.85,17850,USA
536366,22632,CALENTADOR DE MANOS POLKA DOT ROJO,6,01/12/2010 08:28,1.85,17850,USA
536367,84879,ORNAMENTO DE AVES DE COLOR SURTIDO,32,01/12/2010 08:34,1.69,13047,USA
536367,22745,DORMITORIO PLAYHOUSE DE POPPY,6,01/12/2010 08:34,2.1,13047,USA
536367,22748,COCINA DE PLAYHOUSE DE POPPY,6,01/12/2010 08:34,2.1,13047,USA
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,01/12/2010 08:34,3.75,13047,USA
536367,22310,TAZA DE MARFIL COSY COSY,6,01/12/2010 08:34,1.65,13047,USA
536367,84969,Caja de 6 cucharaditas de colores surtidos,6,01/12/2010 08:34,4.25,13047,USA
536367,22623,CAJA DE VINTAGE JIGSAW BLOCKS,3,01/12/2010 08:34,4.95,13047,USA
536367,22622,CAJA DE BLOQUES DE ALFABETO VINTAGE,2,01/12/2010 08:34,9.95,13047,USA
536367,21754,PALABRA DE BLOQUE DE CONSTRUCCION,3,01/12/2010 08:34,5.95,13047,USA
536367,21755,PALABRA DE BLOQUE DE CONSTRUCCION DE AMOR,3,01/12/2010 08:34,5.95,13047,USA
536367,21777,CAJA DE RECETAS CON CORAZON METALICO,4,01/12/2010 08:34,7.95,13047,USA
536367,48187,DOORMAT NUEVA INGLATERRA,4,01/12/2010 08:34,7.95,13047,USA
536368,22960,JUEGO PARA JAMON CON JARRAS,6,01/12/2010 08:34,4.25,13047,USA
536368,22913,RACK ROJO RACK PARIS MODA,3,01/12/2010 08:34,4.95,13047,USA
536368,22912,RACK AMARILLO RACK PARIS MODA,3,01/12/2010 08:34,4.95,13047,USA
536368,22914,RACK AZUL RACK PARIS MODA,3,01/12/2010 08:34,4.95,13047,USA
536369,21756,PALABRA DE BLOQUE DE CONSTRUCCION DE BANO,3,01/12/2010 08:35,5.95,13047,USA
536370,22728,ALARMA RELOJ BAKELIKE PINK,24,01/12/2010 08:45,3.75,12583,Mexico
536370,22727,RELOJ ALARMA BAKELIKE RED,24,01/12/2010 08:45,3.75,12583,Mexico
536370,22726,RELOJ ALARMA VERDE BAKELIKE,12,01/12/2010 08:45,3.75,12583,Mexico
536370,21724,HOJA DE PEGATINAS DE PANDA Y CONEJITOS,12,01/12/2010 08:45,0.85,12583,Mexico
536370,21883,CINTA REGALO ESTRELLAS,24,01/12/2010 08:45,0.65,12583,Mexico
536370,10002,GLOBO POLITICO INFLABLE,48,01/12/2010 08:45,0.85,12583,Mexico
536370,21791,JUEGO DE TARJETAS VINTAGE HEADS Y TAILS,24,01/12/2010 08:45,1.25,12583,Mexico
536370,21035,SET / 2 TOALLAS DE TE ROJO RETROSPOT,18,01/12/2010 08:45,2.95,12583,Mexico
536370,22326,CONJUNTO DE CAJAS REDONDAS DE 4 BOSQUES,24,01/12/2010 08:45,2.95,12583,Mexico
536370,22629,CAJA DE ALMUERZO SPACEBOY,24,01/12/2010 08:45,1.95,12583,Mexico
536370,22659,CAJA DE ALMUERZO AMO LONDRES,24,01/12/2010 08:45,1.95,12583,Mexico
536370,22631,CAJA DE ALMUERZO DESFILE CIRCO,24,01/12/2010 08:45,1.95,12583,Mexico
536370,22661,DISENO DE CHICA DOLLY BOLSA CHARLOTTE,20,01/12/2010 08:45,0.85,12583,Mexico
536370,21731,TOADSTOOL ROJO LED LUZ NOCTURNA,24,01/12/2010 08:45,1.65,12583,Mexico
536370,22900,SET 2 TOALLAS DE TE ME ENCANTA LONDRES,24,01/12/2010 08:45,2.95,12583,Mexico
536370,21913,Rompecabezas dvintage,12,01/12/2010 08:45,3.75,12583,Mexico
536370,22540,MINI JIGSAW CIRCUS DESFILE,24,01/12/2010 08:45,0.42,12583,Mexico
536370,22544,MINI JIGSAW SPACEBOY,24,01/12/2010 08:45,0.42,12583,Mexico
536370,22492,MINI PINTURA SET VINTAGE,36,01/12/2010 08:45,0.65,12583,Mexico
536370,POST,GASTOS DE ENVIO,3,01/12/2010 08:45,18,12583,Mexico
536371,22086,KIT DE CADENA DE PAPEL 50'S NAVIDAD,80,01/12/2010 09:00,2.55,13748,USA
536372,22632,CALENTADOR DE MANOS POLKA DOT ROJO,6,01/12/2010 09:01,1.85,17850,USA
536372,22633,JACK CALENTADOR DE MANOS,6,01/12/2010 09:01,1.85,17850,USA
536373,85123A,SOPORTE DE LUZ EN T CORAZON COLGANTE BLANCO,6,01/12/2010 09:02,2.55,17850,USA
536373,71053,LINTERNA DE METAL BLANCO,6,01/12/2010 09:02,3.39,17850,USA
536373,84406B,CREMA CUPID HEARTS PERCHERO,8,01/12/2010 09:02,2.75,17850,USA
536373,20679,PARASOL EDWARDIAN ROJO,6,01/12/2010 09:02,4.95,17850,USA
536373,37370,TAZAS DE CAFE RETRO SURTIDAS,6,01/12/2010 09:02,1.06,17850,USA
536373,21871,AHORRE LA TAZA DEL PLANETA,6,01/12/2010 09:02,1.06,17850,USA
536373,21071,VINTAGE BILLBOARD BEBEME TAZA,6,01/12/2010 09:02,1.06,17850,USA
536373,21068,VINTAGE BILLBOARD LOVE / HATE MUG,6,01/12/2010 09:02,1.06,17850,USA
536373,82483,GABINETE DE MADERA 2 CAJONES ACABADO BLANCO,2,01/12/2010 09:02,4.95,17850,USA
536373,82486,MADERA S / 3 GABINETE Y ACABADO BLANCO,4,01/12/2010 09:02,6.95,17850,USA
536373,82482,CUADRO DE MADERA MARCO ACABADO BLANCO,6,01/12/2010 09:02,2.1,17850,USA
536373,82494L,MARCO DE MADERA BLANCO ANTIGUO,6,01/12/2010 09:02,2.55,17850,USA
536373,84029G,BOTELLA DE AGUA CALIENTE DE BANDERA DE UNION,6,01/12/2010 09:02,3.39,17850,USA
536373,84029E,CORAZON BLANCO CALIENTE DE LANA ROJO.,6,01/12/2010 09:02,3.39,17850,USA
536373,22752,SET 7 CAJAS DE NIDIFICACION BABUSHKA,2,01/12/2010 09:02,7.65,17850,USA
536373,21730,SOPORTE DE LUZ EN T HELADO CON ESTRELLA DE VIDRIO,6,01/12/2010 09:02,4.25,17850,USA
536374,21258,CAJA DE COSER VICTORIANA GRANDE,32,01/12/2010 09:09,10.95,15100,USA
536375,85123A,SOPORTE DE LUZ EN T CORAZON COLGANTE BLANCO,6,01/12/2010 09:32,2.55,17850,USA
536375,71053,LINTERNA DE METAL BLANCO,6,01/12/2010 09:32,3.39,17850,USA
536375,84406B,CREMA CUPID HEARTS PERCHERO,8,01/12/2010 09:32,2.75,17850,USA
536375,20679,PARASOL EDWARDIAN ROJO,6,01/12/2010 09:32,4.95,17850,USA
536375,37370,TAZAS DE CAFE RETRO SURTIDAS,6,01/12/2010 09:32,1.06,17850,USA
536375,21871,AHORRE LA TAZA DEL PLANETA,6,01/12/2010 09:32,1.06,17850,USA
536375,21071,VINTAGE BILLBOARD BEBEME TAZA,6,01/12/2010 09:32,1.06,17850,USA
536375,21068,VINTAGE BILLBOARD LOVE / HATE MUG,6,01/12/2010 09:32,1.06,17850,USA
536375,82483,GABINETE DE MADERA 2 CAJONES ACABADO BLANCO,2,01/12/2010 09:32,4.95,17850,USA
536375,82486,MADERA S / 3 GABINETE Y ACABADO BLANCO,4,01/12/2010 09:32,6.95,17850,USA
536375,82482,CUADRO DE MADERA MARCO ACABADO BLANCO,6,01/12/2010 09:32,2.1,17850,USA
536375,82494L,MARCO DE MADERA BLANCO ANTIGUO,6,01/12/2010 09:32,2.55,17850,USA
536375,84029G,BOTELLA DE AGUA CALIENTE DE BANDERA DE UNION,6,01/12/2010 09:32,3.39,17850,USA
536375,84029E,CORAZON BLANCO CALIENTE DE LANA ROJO.,6,01/12/2010 09:32,3.39,17850,USA
536375,22752,SET 7 CAJAS DE NIDIFICACION BABUSHKA,2,01/12/2010 09:32,7.65,17850,USA
536375,21730,SOPORTE DE LUZ EN T HELADO CON ESTRELLA DE VIDRIO,6,01/12/2010 09:32,4.25,17850,USA
536376,22114,BOTELLA DE AGUA CALIENTE TE Y SIMPATIA,48,01/12/2010 09:32,3.45,15291,USA
536376,21733,SOPORTE ROJO PARA COLGAR T-LIGHT,64,01/12/2010 09:32,2.55,15291,USA
536377,22632,CALENTADOR DE MANOS POLKA DOT ROJO,6,01/12/2010 09:34,1.85,17850,USA
536377,22633,JACK CALENTADOR DE MANOS,6,01/12/2010 09:34,1.85,17850,USA
536378,22386,BOLSO JUMBO POLKADOT ROSADO,10,01/12/2010 09:37,1.95,14688,USA
536378,85099C,BOLSO JUMBO BARROCO NEGRO BLANCO,10,01/12/2010 09:37,1.95,14688,USA
536378,21033,BOLSA JUMBO CHARLIE Y JUGUETES LOLA,10,01/12/2010 09:37,2.95,14688,USA
536378,20723,BOLSO CHARLOTTE DE FRESA,10,01/12/2010 09:37,0.85,14688,USA
536378,84997B,SET DE CUBIERTOS RETROSPOT ROJO DE 3 PIEZAS,12,01/12/2010 09:37,3.75,14688,USA
536378,84997C,JUEGO DE CUBIERTOS POLKADOT AZUL DE 3 PIEZAS,6,01/12/2010 09:37,3.75,14688,USA
536378,21094,SET / 6 PLACAS DE PAPEL ROJO,12,01/12/2010 09:37,0.85,14688,USA
536378,20725,BOLSA DE ALMUERZO RETROSPOT ROJO,10,01/12/2010 09:37,1.65,14688,USA
536378,21559,CAJA DE ALMUERZO DE FRESA CON CUBIERTOS,6,01/12/2010 09:37,2.55,14688,USA
536378,22352,CAJA DE ALMUERZO CON RETROSPOT DE CUBIERTOS,6,01/12/2010 09:37,2.55,14688,USA
536378,21212,PAQUETE DE 72 CAJAS DE TORTA RETROSPOT,120,01/12/2010 09:37,0.42,14688,USA
536378,21975,PAQUETE DE 60 CAJAS DE TORTA DE DINOSAURIO,24,01/12/2010 09:37,0.55,14688,USA
536378,21977,PAQUETE DE 60 CAJAS DE PASTEL ROSA PAISLEY,24,01/12/2010 09:37,0.55,14688,USA
536378,84991,60 CASAS DE TORTAS DE HADAS DE TEATIME,24,01/12/2010 09:37,0.55,14688,USA
536378,84519A,JUEGO DE POSTALES CHARLIE + LOLA DE TOMATE,6,01/12/2010 09:37,2.95,14688,USA
536378,85183B,CHARLIE & LOLA PAPELERA DE LA BASURA,48,01/12/2010 09:37,1.25,14688,USA
536378,85071B,CHARLIE ROJA + LOLA PUERTA PERSONAL,96,01/12/2010 09:37,0.38,14688,USA
536378,21931,BOLSA DE ALMACENAMIENTO JUMBO SUKI,10,01/12/2010 09:37,1.95,14688,USA
536378,21929,BOLSO JUMBO PINK VINTAGE PAISLEY,10,01/12/2010 09:37,1.95,14688,USA
536380,22961,JUEGO PARA HACER JAMAS IMPRESO,24,01/12/2010 09:41,1.45,17809,USA
536381,22139,SET DE TE RETROSPOT CERAMICA 11 PC,23,01/12/2010 09:41,4.25,15311,USA
536381,84854,JUEGO DE HERRAMIENTAS ROSADAS NINAS,5,01/12/2010 09:41,4.95,15311,USA
536381,22411,JUMBO SHOPPER VINTAGE ROJO PAISLEY,10,01/12/2010 09:41,1.95,15311,USA
536381,82567,"SALA DE AERONAVE, SENAL DE METAL",2,01/12/2010 09:41,2.1,15311,USA
536381,21672,POMO DE CAJON DE CERAMICA DE PUNTO BLANCO ROJO,6,01/12/2010 09:41,1.25,15311,USA
