tiempo,Costo,PrecioOfertaProm,NroTipoOfertas,Marca,CantOfertas,MaxDescuento%,minDescuento%,FactordeDescuentos,FlagCampana,TieneUbicacionEspecifica,UnidadesDemandas
2005-01-01,45.08,19.9,1,B,1,0.585294118,0.0,0.0,0,0,381.0
2005-02-01,24.56,69.9,1,A,1,0.499285714,0.0,0.0,0,0,320.0
2005-03-01,104.01,41.9,1,D,1,0.487209302,0.0,0.0,0,0,464.0
2005-04-01,59.23,33.9,1,B,1,0.498529412,0.0,0.0,0,0,408.0
2005-05-01,24.74,85.0,1,A,1,0.5,0.0,0.0,0,0,321.0
2005-06-01,22.65,71.9,1,A,1,0.513571429,0.0,0.0,0,0,312.0
2005-07-01,57.13,14.2,2,B,1,0.582758621,0.396551724,0.23109393600000003,0,0,405.0
2005-08-01,157.8,54.9,2,A,1,0.6078260870000001,0.34695652200000004,0.210889225,0,0,506.0
2005-09-01,11.49,52.9,1,A,1,0.645121951,0.0,0.0,0,0,244.0
2005-10-01,83.92,33.4,2,C,1,0.5985714289999999,0.355714286,0.212920408,0,0,443.0
2005-11-01,10.05,46.9,1,A,1,0.558333333,0.0,0.0,0,0,231.0
2005-12-01,77.18,51.4,2,C,1,0.546956522,0.34695652200000004,0.18977013199999998,0,0,435.0
2005-01-13,46.75,17.0,2,B,2,0.651724138,0.0,0.0,0,0,384.0
2005-01-14,91.84,36.9,1,C,1,0.5271428570000001,0.0,0.0,0,0,452.0
2005-01-15,8.06,119.0,1,A,1,0.71686747,0.0,0.0,0,0,209.0
2005-01-16,30.33,54.9,1,A,1,0.653571429,0.0,0.0,0,0,341.0
2005-01-17,31.14,74.9,1,A,1,0.680909091,0.0,0.0,0,0,344.0
2005-01-18,21.91,86.45,2,A,1,0.696202532,0.398101266,0.27715910899999996,0,0,309.0
2005-01-19,35.31,22.9,1,B,1,0.48723404299999995,0.0,0.0,0,0,356.0
2005-01-20,23.92,85.0,1,A,1,0.5,0.0,0.0,0,0,317.0
2005-01-21,81.52,36.9,1,C,1,0.46125,0.0,0.0,0,0,440.0
2005-01-22,37.78,36.9,1,B,1,0.636206897,0.0,0.0,0,0,363.0
2005-01-23,51.78,39.9,2,B,1,0.665333333,0.39866666700000003,0.265246222,0,0,395.0
2005-01-24,20.66,47.9,1,A,1,0.6386666670000001,0.0,0.0,0,0,303.0
2005-01-25,70.7,37.9,1,B,1,0.653448276,0.0,0.0,0,0,426.0
2005-01-26,51.49,76.95,2,B,1,0.707142857,0.392142857,0.27730102,0,0,394.0
2005-01-27,12.49,114.0,1,A,1,0.686746988,0.0,0.0,0,0,252.0
2005-01-28,9.38,149.0,1,A,1,0.784210526,0.0,0.0,0,0,224.0
2005-01-29,103.96,62.9,2,D,1,0.649166667,0.39916666700000003,0.25912569399999996,0,0,464.0
2005-01-30,178.46,31.4,2,B,1,0.648333333,0.39833333299999996,0.258252778,0,0,518.0
2005-01-31,19.9,21.9,1,A,1,0.663636364,0.0,0.0,0,0,299.0
2005-01-02,88.27,54.9,2,C,1,0.6078260870000001,0.34695652200000004,0.210889225,0,0,448.0
2005-02-02,61.79,15.9,1,B,1,0.548275862,0.0,0.0,0,0,412.0
