User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1002140,P00083842,M,46-50,14,C,2,1,5,14,,8768
1002140,P00147942,M,46-50,14,C,2,1,1,16,,15534
1002140,P00331342,M,46-50,14,C,2,1,8,16,,7799
1002142,P00145642,F,46-50,14,C,2,1,1,8,17,19697
1002142,P00127242,F,46-50,14,C,2,1,1,16,,12034
1002142,P00057442,F,46-50,14,C,2,1,5,14,16,7108
1002143,P00324942,M,18-25,4,B,2,0,5,,,8853
1002143,P00114942,M,18-25,4,B,2,0,1,15,16,15743
1002144,P00180642,M,18-25,0,C,1,1,11,,,7651
1002144,P00359542,M,18-25,0,C,1,1,11,,,4544
1002144,P00157142,M,18-25,0,C,1,1,11,16,,7630
1002144,P00018842,M,18-25,0,C,1,1,8,,,7811
1002145,P00157542,M,18-25,10,C,2,1,8,14,,6204
1002145,P00282042,M,18-25,10,C,2,1,5,15,,8755
1002145,P00106042,M,18-25,10,C,2,1,5,,,8710
1002145,P00362342,M,18-25,10,C,2,1,5,,,8718
1002145,P00182242,M,18-25,10,C,2,1,1,5,6,15524
1002145,P0096842,M,18-25,10,C,2,1,3,4,12,13220
1002145,P00030942,M,18-25,10,C,2,1,4,5,9,2839
1002146,P00121342,M,18-25,2,C,3,1,1,5,18,18993
1002146,P00120042,M,18-25,2,C,3,1,1,2,,12102
1002146,P00113342,M,18-25,2,C,3,1,1,8,17,15624
1002146,P00266642,M,18-25,2,C,3,1,1,8,9,8266
1002146,P00288942,M,18-25,2,C,3,1,1,2,5,19499
1002146,P00278942,M,18-25,2,C,3,1,1,2,3,15672
1002146,P00334242,M,18-25,2,C,3,1,1,8,,15513
1002146,P00352942,M,18-25,2,C,3,1,1,2,,4545
1002146,P00008842,M,18-25,2,C,3,1,1,16,,8196
1002147,P0095842,F,18-25,0,B,3,0,3,4,12,8103
1002147,P00150942,F,18-25,0,B,3,0,6,11,13,12217
1002147,P00114942,F,18-25,0,B,3,0,1,15,16,19133
1002147,P00220142,F,18-25,0,B,3,0,1,15,,15420
1002147,P00106642,F,18-25,0,B,3,0,7,,,16244
1002147,P0096842,F,18-25,0,B,3,0,3,4,12,13234
1002148,P00187442,F,18-25,0,B,0,1,2,4,5,9901
1002148,P00242742,F,18-25,0,B,0,1,1,2,9,15894
1002148,P00242142,F,18-25,0,B,0,1,5,9,,8804
